,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455
290,167.5,141.4,100.3,53.31,33.65,22.76,33.33,46.57,380.5,699.4,124.8,75.48,100,4450,9999.9,2003,6.427,4.331,3.565,1.911,1.737,1.232,1.014,1.942,1.008,0.927,1.065,1.434,1.118,1.028,1.102,0.648,0.498,0.779,1.058,1.091,0.783,0.688,0.662,0.394,0.511,0.511,0.631,0.538,0.739,0.542,0.875,0.7
295,183.8,167.8,112,62.87,46.17,29.49,36.57,53.82,162.6,609.1,489,115.5,97.14,1273,5657,9636,1443,6.135,4.305,2.397,2.322,1.17,1.424,1.386,0.875,0.95,1.084,1.169,0.976,0.846,0.904,0.864,0.838,0.495,0.849,0.945,0.955,0.72,0.675,0.523,0.694,0.597,0.553,0.65,0.799,0.621,0.759,0.778
300,224.4,206.3,131.4,89.12,70.41,59.75,84.12,98.25,153,326.4,725.2,478.1,146.3,423,1599,5185,9570,1461,6.03,3.217,2.567,1.673,2.083,1.263,1.087,1.003,0.872,1.002,1.053,0.785,0.99,0.871,0.584,0.404,1.015,0.877,0.565,1.038,0.736,0.411,0.802,0.616,0.515,0.634,0.911,0.851,0.942,0.798
305,256.4,248.4,170.8,113.3,80.64,96.31,122.5,155.1,211.6,279.8,464.4,828.2,384.1,222,510,1477,4972,8017,1245,5.262,3.21,1.897,2.102,1.687,1.264,1.294,1.129,1.244,1.207,0.863,0.709,0.788,0.789,0.712,0.725,0.659,0.834,0.873,1.023,0.595,0.826,0.896,0.627,0.654,0.978,0.778,0.905,1.304
310,226.9,226.4,176.4,127.3,98.33,111.2,133.5,180.5,221.1,267.9,335.6,526.3,756.2,261,222,459.1,1410,4241,9701,1013,4.886,2.906,2.862,1.795,1.606,1.22,1.035,1.354,1.068,1.009,0.748,0.981,0.748,0.747,0.68,0.996,0.888,0.646,0.775,0.738,0.687,0.661,0.796,0.715,0.989,0.633,0.917,1.077
315,251.1,243.3,184.1,138,125.2,130.4,149.1,191.7,227.4,270.1,299.4,353.9,558.7,612.2,199.5,192.7,439.8,1193,5706,7800,926.2,4.354,2.982,1.98,1.489,1.549,0.909,1.021,1.088,1.001,0.966,0.937,0.689,0.728,0.741,0.8,0.876,0.609,0.728,0.652,0.809,0.791,0.716,0.647,0.775,0.865,1.168,1.303
320,251.9,255.7,182.4,161.6,139.8,152.4,170.3,196.2,221.8,269.5,283.6,297.4,345.6,552.9,479.7,160.1,191.3,369.6,1591,4441,7123,907.5,4.212,3.156,1.879,1.823,1.445,1.422,1.087,1.151,0.913,1.065,0.739,0.78,0.761,0.949,0.807,0.753,0.595,0.732,0.94,0.681,0.887,0.77,0.771,1.026,1.406,1.106
325,303,311.6,269,221.7,164.9,161.4,176.9,189.9,217,255.7,271.1,287.5,284.9,333.7,543.3,368.5,147.8,162.9,475.7,1244,3847,7410,1015,5.002,2.906,1.891,1.548,1.261,1.329,1.008,0.893,0.682,0.701,0.64,1.223,0.763,0.949,0.84,0.754,0.822,0.705,0.58,0.776,0.944,0.995,1.285,1.092,1.525
330,315,350.7,361,286.4,221.6,177.4,183.4,188.1,220.3,247.4,261.4,284.2,270.9,262.3,326.6,514.4,286.9,122.1,183.1,381.1,1081,4180,6545,908.1,4.636,2.703,1.619,1.464,1.704,0.788,1.122,0.864,0.791,1.012,0.794,0.587,0.895,0.83,0.689,0.583,0.851,0.799,0.766,0.876,0.982,1.595,1.448,1.859
335,314.6,411.2,401,325.3,261.6,205.3,196.9,194.5,205.3,237.2,264.1,282.2,271.5,259.5,253.2,349.5,485.2,216.5,120.8,154.8,330.2,1167,3522,6809,801.8,5.236,2.467,2.385,1.617,1.393,1.026,0.626,0.811,0.763,0.515,0.616,0.816,0.862,0.906,0.726,0.725,0.706,0.88,0.845,0.975,1.354,1.505,1.903
340,329.4,476.5,476,362.4,281.7,229.2,207.8,206.7,211.5,238.1,262.7,289.3,279.7,271.6,247.4,259.5,357.1,421.9,156.3,106.7,136.3,347.8,986.5,3903,5960,1148,4.308,2.767,1.651,1.484,1.122,0.7,0.944,1.024,0.526,0.85,0.783,1.237,0.632,0.758,0.744,0.439,0.589,1.124,1.177,1.494,1.596,1.996
345,334.9,471.2,489.2,395.2,287.5,249.9,226.2,215.1,224.7,243.4,264.8,282.9,290.5,283.2,265.5,242.2,256,364.9,345.5,129.8,98.58,134.2,298.5,1091,3317,7062,516.5,4.843,2.676,1.754,1.264,1.246,1.194,0.932,0.636,0.823,0.775,0.783,0.728,0.862,0.659,0.731,0.62,0.876,1.397,1.787,1.649,2.085
350,356.9,472.9,483.5,414.8,341.3,271.5,250.6,232.7,229.6,246.9,273.7,287.4,298.8,279.6,280.9,248.9,238.4,259.9,374.6,276.9,110.3,94.29,122.4,326.9,927.2,3670,3814,885.8,4.678,2.323,1.945,1.167,1.072,0.838,0.863,0.491,0.65,0.574,0.846,0.671,0.609,0.756,0.59,0.712,1.526,1.741,1.755,2.074
355,357.5,462.1,500.2,435.1,373.7,300,275.5,251.7,247.6,269.3,294.6,293.2,305.7,298.6,295.8,269.8,249.2,232.4,266.5,377.9,220.4,103.7,91.26,134.8,283.4,1024,2233,5707,675.2,4.328,2.563,1.529,1.293,1.123,0.727,1.046,0.664,0.674,0.881,0.597,0.845,0.699,0.591,0.841,1.199,1.379,1.731,2.363
