,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455
290,193.9,152.6,94.28,58.31,26.63,25.86,33.37,52.69,338.4,639.1,129.3,83.96,104,5387,9999.9,2718,11.75,4.647,3.328,3.08,2.679,1.809,1.938,1.225,1.506,1.548,1.921,1.406,0.651,0.842,1.492,1.021,1.283,1.235,0.975,0.901,0.759,1.002,0.483,0.447,0.75,0.742,0.452,0.573,0.811,0.739,0.895,1.194
295,222,171.9,103.3,68.11,39.75,37.45,37.91,55.16,161,539.2,467.7,123.8,105.1,1540,6333,9999.9,2104,8.288,4.999,3.774,2.845,2.027,2.28,1.827,1.616,1.37,1.38,1.276,1.144,1.345,1.458,0.892,1.234,0.895,0.881,1.31,0.942,0.696,0.698,0.914,0.558,0.748,0.793,0.845,0.915,0.953,1.247,1.04
300,205.9,202.2,134.4,95.61,51.94,46.94,50.87,66.35,105.3,242.3,623.7,434.7,131.7,486.3,1773,5708,9999.9,1878,8.336,4.744,3.209,2.613,2.286,1.982,1.806,1.62,1.109,1.182,1.419,1.204,1.015,0.795,1.033,0.652,0.925,1.035,0.999,0.817,0.595,0.978,0.777,0.562,0.523,0.659,1.022,0.904,1.267,1.258
305,201.1,199.3,167,119.3,68.95,64.29,68.27,82.88,104.8,156.9,331.1,703.5,329.3,208.2,532.6,1594,5593,9999.9,1565,7.385,4.291,3.325,2.681,2.696,2.017,1.488,1.605,1.195,1.719,1.417,1.17,1.225,1.213,1.067,0.981,1.17,0.995,1.026,0.931,0.8,0.947,0.546,0.772,0.864,0.809,0.892,1.343,1.217
310,200.5,216.9,181.4,118.5,83.94,80.7,76.86,92.36,110.1,146.9,216.6,408,667.7,244.2,205.1,472.2,1555,5428,9999.9,1664,7.335,4.522,3.312,3.247,2.321,1.366,1.601,1.456,1.267,1.294,1.295,1.368,0.869,0.993,1,1.085,0.902,0.879,1.034,0.62,0.904,0.655,0.746,0.694,0.658,1.13,1.152,1.245
315,197.4,227.4,215.2,142.2,100.7,96.19,103.2,112.3,120.4,138.9,185.6,254.2,477.6,561.5,175.6,179.3,456.6,1511,5670,9999.9,1587,7.984,4.288,4.093,2.579,2.246,1.895,1.345,1.608,1.436,1.08,1.515,1.436,1.317,0.895,1.027,0.905,0.832,0.939,0.65,1.061,0.642,0.951,0.952,0.757,1.164,1.127,1.471
320,182.3,259.6,215.9,166,103.8,121.7,114.6,120.7,136.1,151.9,189.2,216.3,290.6,500.8,446.9,134,169.9,447,1579,5661,9999.9,1451,6.508,4.585,3.141,2.414,2.656,1.616,1.658,1.659,1.255,1.027,1.116,1.418,1.172,0.925,0.593,0.64,0.746,0.657,0.966,0.723,0.937,0.838,0.848,1.02,0.885,1.167
325,227.3,325.7,283.6,219.5,148.4,143.7,128.6,139.5,150.4,171.1,211.4,223.9,250.3,304.8,496.9,337.4,117.2,170.6,464.9,1573,5428,9999.9,1468,7.082,4.099,2.471,2.734,1.856,2.009,1.149,1.273,1.163,1.16,1.187,1.222,1.056,0.808,0.784,0.742,0.785,1.007,0.582,0.79,0.95,0.996,1.014,1.196,1.567
330,247.7,355,347.7,277.9,186.7,160.4,156.4,158.9,158,182.3,215.6,242.1,242.3,251.9,303.8,469.2,254.7,113.8,171.5,462.2,1508,5470,9999.9,1512,6.742,3.71,3.229,2.429,2.513,1.73,1.385,1.29,1.452,1.054,0.961,1.091,1.192,0.719,0.735,1.016,0.848,0.675,0.961,0.735,1.023,1.456,1.345,1.466
335,271.5,382.4,367.8,304.5,229,177.4,179.6,174,177.1,212.4,232.7,254.4,254.1,246,238.4,312.3,441.1,190.5,108.5,170.4,445.4,1519,5627,9999.9,1374,6.931,4.696,2.761,2.238,1.796,1.802,1.368,1.121,1.507,1.262,1.012,1.267,0.773,1.026,0.84,0.831,0.791,0.958,1.106,1.025,1.308,1.588,1.944
340,287.2,378.3,437.7,330.8,263.9,212.7,192.8,191.1,198.9,233.3,256.3,278.4,273.9,262,243.6,236.6,317,387.2,149.2,108.1,169.5,448.2,1562,5634,9999.9,1424,7.506,3.929,2.786,2.366,1.787,1.59,1.476,1.571,1.225,1.173,1.252,0.764,0.928,0.613,0.685,0.854,0.783,1.101,1.003,1.235,1.711,2.066
345,288.7,406.7,442.5,390.2,298.6,239.2,225.3,206.9,224.5,257.2,267.4,288.6,299.5,279.6,258.2,226.9,238.6,338.6,321,130.7,109.3,168.8,459.2,1564,5384,9660,1427,7.581,3.706,2.809,2.784,1.669,1.765,1.351,1.337,0.894,0.984,0.858,0.676,0.768,0.696,0.859,1.04,0.895,1.098,1.413,1.654,2.276
350,288.4,396.8,466.2,403.1,326.1,276.5,253.4,241.9,240.9,269.4,275.9,308.9,315.8,300.7,278.6,244.3,221.5,245.8,360.3,285.3,124.8,110.9,179.5,463.9,1498,5159,9999.9,1579,7.007,4.016,3.32,2.505,2.067,1.303,1.343,0.908,0.92,1.145,0.948,0.911,0.853,0.627,0.864,0.816,1.098,1.547,1.606,1.984
355,302.5,411,471,427.5,355.3,315,276.1,276.5,274.5,284.4,304.3,327.3,332.3,318.3,294,272.5,247.9,229.9,263.5,375.7,235.1,123.2,124.4,184.8,450.7,1439,5771,9999.9,1241,7.541,3.88,2.458,1.673,1.925,1.373,1.073,1.382,0.984,0.832,0.806,0.9,1.049,0.716,0.943,0.975,1.353,1.465,2.054
