,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455
290,149,125,68.78,38.47,30.06,24.29,21.97,41.03,301.4,621.2,113.3,64.18,73.75,2284,6250,1112,3.952,2.638,2.194,1.637,1.496,1.425,1.047,0.644,0.947,0.817,0.723,0.646,0.743,0.769,0.647,0.644,0.181,0.617,0.427,0.686,0.603,0.4,0.778,0.865,0.295,0.47,0.798,0.744,0.627,0.724,0.845,0.879
295,162.4,151.4,86.54,53.78,35.19,33.92,28.97,39.25,130.9,489.9,436.5,98.04,78.18,673.3,3062,4464,760.1,3.312,1.822,1.841,1.32,1.231,1.01,0.535,1.094,0.921,0.866,1.061,0.753,0.663,0.436,0.712,0.588,0.65,0.501,0.525,0.458,0.503,0.77,0.643,0.506,0.422,0.69,0.644,0.694,0.777,0.623,0.731
300,166.9,148,108.2,65.36,45.47,41.3,41.28,43.7,79.81,214.8,548.4,383.8,97.64,240.4,870,2343,4043,658.7,3.331,1.983,1.618,1.215,0.892,0.716,0.758,0.536,1.093,0.814,0.597,0.543,0.885,0.537,0.454,0.915,0.665,0.598,0.563,0.354,0.548,0.52,0.373,0.321,0.452,0.526,0.562,0.869,1.07,0.548
305,141.5,157.8,127,82.79,56.51,54.57,55.14,55.28,79.51,130.3,284.2,616.1,292.4,132.1,279,671.8,2038,3691,628.6,3.182,1.608,1.739,1.004,1.028,0.863,0.841,0.931,0.786,0.619,0.493,0.991,0.789,0.559,0.665,0.507,0.502,0.446,0.575,0.563,0.485,0.748,0.463,0.596,0.413,0.568,0.824,0.775,0.78
310,180.9,156.6,138.9,96.74,85.06,65.91,67.58,71.25,86.67,112.4,168.9,347.1,616.2,213,132.5,220.8,582.6,1892,4110,511.4,3.259,2.002,1.578,0.929,0.936,1.009,1.008,0.58,0.731,0.869,0.747,0.818,0.684,0.794,0.658,0.978,0.561,0.511,0.7,0.642,0.773,0.637,0.602,0.402,0.672,0.714,0.519,0.742
315,155.2,164.2,144.8,113.8,95.5,82.21,84.6,90.45,96.62,115.8,148.2,218,413.8,536.1,149.9,105.8,189,541.5,2181,3251,555.4,3.459,1.827,1.044,1.061,1.151,1.288,1.028,0.758,0.58,0.562,0.747,0.7,0.737,0.5,0.457,0.71,0.468,0.837,0.523,0.683,0.516,0.547,0.529,0.831,0.839,0.617,0.858
320,176.8,219,183.4,131.2,108.3,95.94,100.1,106.3,105.1,129.1,154.5,189.9,257.5,454.9,413.8,111,96.65,181.1,622.5,1749,3530,438.1,3.224,1.553,0.947,1.52,0.871,0.879,1.068,0.855,0.638,1.045,0.782,0.635,0.431,0.513,0.403,0.478,0.635,0.55,0.569,0.68,0.67,0.713,0.676,0.67,0.763,1.088
325,217.2,267.1,244.8,172.4,134.3,115.2,115.9,119.4,127.1,149.9,166.2,192.3,215.8,274.2,458.1,327.5,97.06,96.08,204,502.6,1811,3090,462.7,2.404,1.563,1.188,0.743,0.992,1.247,0.743,0.636,0.781,0.763,0.616,0.684,0.691,0.557,0.584,0.767,0.696,0.656,0.303,0.601,0.563,0.82,0.655,0.967,1.127
330,253.3,295.8,284.9,234.1,161.1,135.2,132.1,141.8,139.7,158.3,191.8,204.2,221.1,222.8,278.7,446,251.7,90.28,101,170.5,521.8,1631,3016,419.9,2.561,1.521,1.395,1.055,1.129,0.846,0.751,0.812,0.542,0.433,0.634,0.645,0.513,0.489,0.508,0.813,0.492,0.642,0.538,0.628,0.786,1.019,0.96,1.035
