,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455
290,55.67,38.09,28.13,10.17,6.559,8.231,6.445,22.98,424.4,757.2,97.4,38.27,53.24,2441,5942,930.2,3.637,1.56,1.299,1.137,0.404,0.859,0.528,0.535,0.31,0.321,0.776,0.296,0.39,0.659,0.621,0.449,-0.016,0.483,0.403,0.594,0.549,0.222,0.103,0.467,0.399,0.179,0.411,0.171,0.297,0.387,0.211,0.596
295,56.86,45.43,28.41,7.786,4.752,8.363,7.228,10.86,146.8,621,507.5,63.74,39.98,698.8,3015,3893,567.6,2.823,1.393,1.325,0.376,0.457,0.568,0.813,0.353,0.349,0.471,0.44,0.35,0.429,0.257,0.491,0.155,0.549,0.439,0.647,0.353,0.377,0.264,0.464,0.35,0.355,0.475,0.215,0.415,0.418,0.169,0.258
300,71.07,45.7,32.55,15.21,8.337,6.485,6.764,12.51,51.35,216.9,670.5,388.5,43.85,212.9,844.3,2133,3205,492.5,2.51,0.987,0.709,0.549,0.332,0.713,0.443,0.381,0.499,0.546,0.636,0.235,0.18,0.348,0.374,0.372,0.517,0.409,0.266,0.383,0.351,0.384,0.185,0.323,0.343,0.252,0.369,0.315,0.325,0.353
305,79.3,57.68,35.37,13.79,8.832,5.022,10.07,12.74,22.86,76.88,265.3,688.9,244.1,79.42,244.5,600,1701,2715,374.4,1.798,0.857,0.487,0.746,0.689,0.357,0.353,0.587,0.273,0.349,0.416,0.239,0.305,0.3,0.27,0.431,0.454,0.341,0.314,0.386,0.518,0.198,0.511,0.261,0.365,0.308,0.188,0.3,0.432
310,81.53,59.83,34.42,11.21,5.111,5.581,8.088,10.58,16.46,33.02,95.1,321.7,638.6,151.2,78.41,178,480,1480,2409,328.8,1.746,0.838,0.629,0.879,0.443,0.427,0.328,0.411,0.315,0.314,0.397,0.337,0.265,0.307,0.298,0.491,0.404,0.528,0.242,0.312,0.278,0.386,0.205,0.253,0.258,0.114,0.242,0.53
315,66.29,43.63,29.73,14.54,7.54,7.738,7.487,10.07,15.64,20.04,41.44,111.8,382.8,516.4,81.43,58.04,143.2,419.8,1385,2113,280.6,1.987,0.868,0.53,0.534,0.231,0.598,0.32,0.26,0.406,0.543,0.552,0.335,0.184,0.415,0.438,0.268,0.28,0.285,0.394,0.33,0.232,0.168,0.176,0.28,0.236,0.146,0.269
320,67.58,45.83,29.16,15.49,10.58,8.748,9.638,12.49,14.15,17.56,27.89,45.32,132,427.3,385.7,46.79,49.39,125.1,392.6,1202,1877,242.6,1.855,0.428,0.801,0.285,0.559,0.4,0.356,0.404,0.711,0.386,0.301,0.339,0.358,0.46,0.393,0.221,0.217,0.436,0.509,0.383,0.334,0.366,0.248,0.344,0.17,0.382
325,56.04,57.71,36.2,14.59,12.13,6.775,10.82,10.46,12.67,20.37,24.87,26.69,50.94,152.9,412.1,263.9,32.11,44.36,117.2,341.8,1033,1729,226.1,1.593,0.926,0.472,0.545,0.402,0.344,0.163,0.59,0.176,0.3,0.305,0.437,0.528,0.306,0.217,0.348,0.306,0.241,0.458,0.327,0.353,0.449,0.281,0.11,0.495
330,78.84,56.26,39.77,19,15.88,10.04,9.5,11.35,11.41,18.53,24.6,21.32,28.79,54.02,159.2,394.9,182.4,24.29,42.25,102.3,293.7,962.5,1583,215.3,1.303,0.621,0.662,0.569,0.442,0.287,0.69,0.683,0.319,0.323,0.439,0.248,0.307,0.384,0.136,0.233,0.301,0.415,0.196,0.425,0.565,0.317,0.233,0.506
